Date,Fx
2019-01,1.3301
2019-02,1.3206
2019-03,1.3368
2019-04,1.3378
2019-05,1.3459
2019-06,1.3287
2019-07,1.3101
2019-08,1.3277
2019-09,1.3241
2019-10,1.3190
2019-11,1.3239
2019-12,1.3172
2020-01,1.3087
2020-02,1.3286
2020-03,1.3953
2020-04,1.4058
2020-05,1.3970
2020-06,1.3550
2020-07,1.3499
2020-08,1.3222
2020-09,1.3228
2020-10,1.3215
2020-11,1.3068
2020-12,1.2808
2021-01,1.2724
2021-02,1.2699
2021-03,1.2574
2021-04,1.2496
2021-05,1.2126
2021-06,1.2219
2021-07,1.2529
2021-08,1.2603
2021-09,1.2671
2021-10,1.2437
2021-11,1.2570
2021-12,1.2794
2022-01,1.2616
2022-02,1.2716
2022-03,1.2658
2022-04,1.2628
2022-05,1.2852
2022-06,1.2814
2022-07,1.2942
